Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps
PLU_000_00,0,0.7700756164800305,0.1880896626841077,0
PLU_010_01,5,0.7122707799658737,0.1152733819576935,10
PLU_010_02,5,0.6402604563200146,0.2035675338589953,10
PLU_010_03,5,0.6462409729405098,0.1024321216307447,10
PLU_010_04,5,0.684759415258249,0.109795014092628,10
PLU_010_05,5,0.7404411399652115,0.1398028533966311,10
PLU_010_06,5,0.7841276410935716,0.1991589196263444,10
PLU_010_07,5,0.7425902172179252,0.1823480115295696,10
PLU_010_08,5,0.6365762299180046,0.0967012061909678,10
PLU_010_09,5,0.4724921380637796,0.1148899101274574,10
PLU_010_10,5,0.7134688386271619,0.1100223827327716,10
PLU_010_11,5,0.5626163509637393,0.0788559635291617,10
PLU_010_12,5,0.5865517599497714,0.0767761706797323,10
PLU_010_13,5,0.6818347777860788,0.1049197932354766,10
PLU_010_14,5,0.5863266615683261,0.1154922086855018,10
PLU_010_15,5,0.6709700840423176,0.1110525443344419,10
PLU_010_16,5,0.6957220467212494,0.1648174415336142,10
PLU_010_17,5,0.763197196743815,0.1986137735150709,10
PLU_010_18,5,0.653342854567002,0.0795456400360193,10
PLU_010_19,5,0.7454307607518388,0.1469326836757504,10
PLU_010_20,5,0.7456879482507217,0.1967060195416607,10
PLU_010_21,5,0.7379396709282565,0.1943563584168097,10
PLU_010_22,5,0.5496198468217367,0.0811653717519044,10
PLU_010_23,5,0.7528902279617173,0.3151968111923141,10
PLU_010_24,5,0.6496484699124242,0.0823338564831751,10
PLU_010_25,5,0.5872089820336733,0.1355338962748813,10
PLU_010_26,5,0.5526513379138771,0.1227460124284574,10
PLU_010_27,5,0.5875298820224579,0.0894883616199464,10
PLU_010_28,5,0.7598312066566529,0.1718557909339388,10
PLU_010_29,5,0.391282601989096,0.0376041276261846,10
PLU_010_30,5,0.7494757511135481,0.2844339700838925,10
PLU_010_31,5,0.6539800482102859,0.1337099550678995,10
PLU_010_32,5,0.6143103833259026,0.04119462823781,10
PLU_010_33,5,0.6517551548475595,0.1145208406530948,10
PLU_010_34,5,0.7582884071703405,0.2603367002073793,10
PLU_010_35,5,0.7704346100386548,0.2078708678554093,10
PLU_010_36,5,0.6654094075713725,0.1022948523106191,10
PLU_010_37,5,0.7397941846820939,0.2487031631641836,10
PLU_010_38,5,0.7454776510757322,0.1906354524788372,10
PLU_010_39,5,0.663005318536715,0.1498433254076943,10
PLU_010_40,5,0.4310042657139702,0.0931467812502048,10
PLU_010_41,5,0.718648637329656,0.1285385866303726,10
PLU_010_42,5,0.6041591692174871,0.1678787586462045,10
PLU_010_43,5,0.4501834296631997,0.0903603690321697,10
PLU_010_44,5,0.7170127571504399,0.142482489434582,10
PLU_010_45,5,0.7283525206914494,0.1651836958372707,10
PLU_010_46,5,0.7711740252372781,0.2017197963354206,10
PLU_010_47,5,0.7323370585853574,0.1448487155053311,10
PLU_010_48,5,0.7215773016698643,0.1574865207139794,10
PLU_010_49,5,0.697573485639939,0.0691163788657697,10
PLU_010_50,5,0.72899071416182,0.1097998704165097,10
PLU_020_01,10,0.6537869837978998,0.141883302214238,20
PLU_020_02,10,0.6357019331217152,0.1540505485681127,20
PLU_020_03,10,0.6253716719662193,0.0619781286531925,20
PLU_020_04,10,0.4757817006459193,0.0584002678226855,20
PLU_020_05,10,0.655447909938481,0.0486046575467039,20
PLU_020_06,10,0.5897270661419753,0.090204753227036,20
PLU_020_07,10,0.4516593545863255,0.030423610946254,20
PLU_020_08,10,0.6064042612437798,0.0532159903530789,20
PLU_020_09,10,0.4401388488954834,0.0296223090806724,20
PLU_020_10,10,0.7037331824274213,0.1901995792414957,20
PLU_020_11,10,0.5337214200471759,0.0646505006662334,20
PLU_020_12,10,0.4530046986726176,0.0524751021691578,20
PLU_020_13,10,0.6023736221883689,0.0608580845915723,20
PLU_020_14,10,0.6834011128142363,0.1188973300190971,20
PLU_020_15,10,0.3683129312702222,0.0336790470310127,20
PLU_020_16,10,0.6256493899692366,0.0867570378886776,20
PLU_020_17,10,0.6290970583910503,0.1386546360968566,20
PLU_020_18,10,0.5261993355292583,0.0756444774047569,20
PLU_020_19,10,0.3378013383300172,0.0410648670833485,20
PLU_020_20,10,0.6109353525023684,0.1219849167753733,20
PLU_020_21,10,0.6165099935600596,0.2062096115731659,20
PLU_020_22,10,0.7412376900848667,0.2720970989441762,20
PLU_020_23,10,0.6396597365724076,0.1202176269597823,20
PLU_020_24,10,0.3961452076355923,0.0641110197427932,20
PLU_020_25,10,0.5879811599864347,0.0785359259824572,20
PLU_020_26,10,0.6647771865085795,0.1381754564649524,20
PLU_020_27,10,0.6046914012400411,0.0887123978402234,20
PLU_020_28,10,0.6377007933573713,0.0997564653757332,20
PLU_020_29,10,0.4736225891468365,0.0678536537969277,20
PLU_020_30,10,0.5159005284999297,0.1129041507522001,20
PLU_020_31,10,0.6717021645021367,0.1566018797325499,20
PLU_020_32,10,0.499931089592829,0.0849497590039898,20
PLU_020_33,10,0.5710095720710986,0.0702018666747584,20
PLU_020_34,10,0.7357459918448526,0.2100380209303798,20
PLU_020_35,10,0.5103795480104472,0.0746200822910932,20
PLU_020_36,10,0.6615801822263417,0.0605542534809437,20
PLU_020_37,10,0.6308896619231364,0.1765532434087327,20
PLU_020_38,10,0.5773282437573127,0.0279745665544586,20
PLU_020_39,10,0.5526021838763627,0.0727600685917941,20
PLU_020_40,10,0.670161363007388,0.1701314108770844,20
PLU_020_41,10,0.6080454407540578,0.0549956413844159,20
PLU_020_42,10,0.4850773909105269,0.0820793295856997,20
PLU_020_43,10,0.4169257906688545,0.0371996399988487,20
PLU_020_44,10,0.5830439677718778,0.1694403635717249,20
PLU_020_45,10,0.528356365437647,0.048173872116547,20
PLU_020_46,10,0.541749410713904,0.1503351500991892,20
PLU_020_47,10,0.5145581356183254,0.0928237541604331,20
PLU_020_48,10,0.5168643690402832,0.0908688244888332,20
PLU_020_49,10,0.6600888650529515,0.0717529454757951,20
PLU_020_50,10,0.5644007361050231,0.0689755968524062,20
PLU_030_01,15,0.6570809418247547,0.1242087547217014,30
PLU_030_02,15,0.5095276286507973,0.0883493715658421,30
PLU_030_03,15,0.5058332441573441,0.1003353275739495,30
PLU_030_04,15,0.2957626463838821,0.0108083530252872,30
PLU_030_05,15,0.7110048953939407,0.1146949555662948,30
PLU_030_06,15,0.3010976649890715,0.0077750354461492,30
PLU_030_07,15,0.6774794965462343,0.088384000893598,30
PLU_030_08,15,0.4056649872370415,0.034752971422928,30
PLU_030_09,15,0.4517672922637281,0.0903887138058618,30
PLU_030_10,15,0.4128106621928432,0.0197783643230654,30
PLU_030_11,15,0.3359211296509055,0.0379721965102272,30
PLU_030_12,15,0.6682487354492221,0.0422084288189308,30
PLU_030_13,15,0.4532188874068832,0.075020501519414,30
PLU_030_14,15,0.5445552739089388,0.0540625113169259,30
PLU_030_15,15,0.3341440754468258,0.0487342050296197,30
PLU_030_16,15,0.5881022911612463,0.0906914270096883,30
PLU_030_17,15,0.4730708504507478,0.0302571712323906,30
PLU_030_18,15,0.6336894531255334,0.0798729685016605,30
PLU_030_19,15,0.4528589576071535,0.0844766488555587,30
PLU_030_20,15,0.5577817560398693,0.1037103266189362,30
PLU_030_21,15,0.5927742485321411,0.0639469880979431,30
PLU_030_22,15,0.5780564213298157,0.0559061261523594,30
PLU_030_23,15,0.5337712609386348,0.0850387467647556,30
PLU_030_24,15,0.5613891823082514,0.0742753756499748,30
PLU_030_25,15,0.5186964085781359,0.1140802365115035,30
PLU_030_26,15,0.3783179015624023,0.0562275218517868,30
PLU_030_27,15,0.5407855226001222,0.1177574690669914,30
PLU_030_28,15,0.2876184775117431,0.0227699814403213,30
PLU_030_29,15,0.4919687845463238,0.1005039953758909,30
PLU_030_30,15,0.6307252355079375,0.0846899537232248,30
PLU_030_31,15,0.7465201988130953,0.1776956792988021,30
PLU_030_32,15,0.5886483710370403,0.0451920209663896,30
PLU_030_33,15,0.5111122427463437,0.0580102485528938,30
PLU_030_34,15,0.6797663016921196,0.1424613303157921,30
PLU_030_35,15,0.5988572151289661,0.1460268599566825,30
PLU_030_36,15,0.5015505336072862,0.1065303075742075,30
PLU_030_37,15,0.4381968987573107,0.0614155427013688,30
PLU_030_38,15,0.7411966884387191,0.2008063741733297,30
PLU_030_39,15,0.4989709676318025,0.0380308500214455,30
PLU_030_40,15,0.5398216674608368,0.0603219533310911,30
PLU_030_41,15,0.5193226176511319,0.0745570642324289,30
PLU_030_42,15,0.4961875062070855,0.0495150492217618,30
PLU_030_43,15,0.5179582291225188,0.0850380101606654,30
PLU_030_44,15,0.6031353741452324,0.0438376046114677,30
PLU_030_45,15,0.6095466127398368,0.1693813584341142,30
PLU_030_46,15,0.5474564674343384,0.0555894979884314,30
PLU_030_47,15,0.6804691938666219,0.1405065999214708,30
PLU_030_48,15,0.6342650682685091,0.0370555262574795,30
PLU_030_49,15,0.4292666418420575,0.0936146518050967,30
PLU_030_50,15,0.6411920841919683,0.136332186445825,30
PLU_040_01,20,0.4845088077240927,0.0937365672904665,40
PLU_040_02,20,0.6617843559020838,0.0982335142330351,40
PLU_040_03,20,0.562466812314862,0.1009283542907916,40
PLU_040_04,20,0.4838939125837907,0.2010728479544594,40
PLU_040_05,20,0.4062483918342974,0.0465327185288536,40
PLU_040_06,20,0.3236360933847895,0.1032951082723515,40
PLU_040_07,20,0.4889707748594992,0.0467452478776617,40
PLU_040_08,20,0.5820813626706437,0.0290038795933667,40
PLU_040_09,20,0.6194462836067357,0.1304239580826164,40
PLU_040_10,20,0.5289069766962036,0.069465674942717,40
PLU_040_11,20,0.6753439127457904,0.2409517343873022,40
PLU_040_12,20,0.5489537845498338,0.1062954917878941,40
PLU_040_13,20,0.4980485729229816,0.0513535145669625,40
PLU_040_14,20,0.423038932432515,0.0565688340132486,40
PLU_040_15,20,0.4907468785094138,0.0750090052561393,40
PLU_040_16,20,0.4904414000782732,0.030851342027446,40
PLU_040_17,20,0.5792925349734114,0.0716317518290033,40
PLU_040_18,20,0.364059034367252,0.0170601016074731,40
PLU_040_19,20,0.4715785629163644,0.0418174851374734,40
PLU_040_20,20,0.4217911753274669,0.0379263281047852,40
PLU_040_21,20,0.4673764547672465,0.0328385502630638,40
PLU_040_22,20,0.5179992840448175,0.041792448038533,40
PLU_040_23,20,0.642318885234759,0.0701595528168814,40
PLU_040_24,20,0.3738857589493752,0.0371235425449748,40
PLU_040_25,20,0.3282308882524499,0.042136612853094,40
PLU_040_26,20,0.4254640403220222,0.113059647175381,40
PLU_040_27,20,0.5296737757083629,0.1065475638241162,40
PLU_040_28,20,0.5736293272022713,0.1084886692960815,40
PLU_040_29,20,0.6070286704188111,0.1064295687789762,40
PLU_040_30,20,0.5088902908610469,0.1350152521123286,40
PLU_040_31,20,0.4534134576760253,0.1278026297122619,40
PLU_040_32,20,0.5317025608677829,0.0692512697757209,40
PLU_040_33,20,0.5563433471152777,0.0657178753842709,40
PLU_040_34,20,0.2966668538950343,0.0525287037637016,40
PLU_040_35,20,0.4792328829487896,0.0541697076969192,40
PLU_040_36,20,0.599411592118987,0.095586208191826,40
PLU_040_37,20,0.3148465035914471,0.0265546532249907,40
PLU_040_38,20,0.4112844493144929,0.0932666621565457,40
PLU_040_39,20,0.6056108106439058,0.0592387866451338,40
PLU_040_40,20,0.4616468828708422,0.0198883358289084,40
PLU_040_41,20,0.3459578220052146,0.0271699302857849,40
PLU_040_42,20,0.4759681435901988,0.0539947774228378,40
PLU_040_43,20,0.6675888569000877,0.0899012498972085,40
PLU_040_44,20,0.4129433287107114,0.0691864535341283,40
PLU_040_45,20,0.4124348221381902,0.1294066675240349,40
PLU_040_46,20,0.556855738545688,0.0633349352910521,40
PLU_040_47,20,0.1977617091728886,0.0526885888354544,40
PLU_040_48,20,0.3716315519141753,0.1104674373917202,40
PLU_040_49,20,0.4915076128132377,0.039512969292722,40
PLU_040_50,20,0.569893753128925,0.1040400603269232,40
PLU_050_01,25,0.5355166499347462,0.0232169765837521,50
PLU_050_02,25,0.5082018006628961,0.0470050429892612,50
PLU_050_03,25,0.4407465812292474,0.0421198379694196,50
PLU_050_04,25,0.5111599597606069,0.1800610483460621,50
PLU_050_05,25,0.4411795948592494,0.0670184698495753,50
PLU_050_06,25,0.4676788414245358,0.0623996156749843,50
PLU_050_07,25,0.3670937727860394,0.0153622783582045,50
PLU_050_08,25,0.4557374171709775,0.0372045682102661,50
PLU_050_09,25,0.517412225910895,0.0518173570695557,50
PLU_050_10,25,0.4931044834343208,0.1357240716741941,50
PLU_050_11,25,0.3159792596010621,0.032184013433656,50
PLU_050_12,25,0.4105352235517144,0.0526041446882601,50
PLU_050_13,25,0.5614284611678908,0.0988070513543664,50
PLU_050_14,25,0.5702346737756134,0.0909227277039726,50
PLU_050_15,25,0.4725250456734956,0.1353782560289775,50
PLU_050_16,25,0.4097616930648742,0.084741255415915,50
PLU_050_17,25,0.4787764398842037,0.0517551251691953,50
PLU_050_18,25,0.5265737270368126,0.1179812010613488,50
PLU_050_19,25,0.5059560925232646,0.079895754729529,50
PLU_050_20,25,0.3811602291692527,0.0484269774866118,50
PLU_050_21,25,0.4668129259959749,0.1405473927435919,50
PLU_050_22,25,0.4066530966029663,0.0436870421975879,50
PLU_050_23,25,0.4037792813305458,0.040708863112031,50
PLU_050_24,25,0.4881879507334709,0.0392455975781601,50
PLU_050_25,25,0.5166390422696462,0.0290527946662145,50
PLU_050_26,25,0.5714179644888361,0.0823989398227582,50
PLU_050_27,25,0.5451730778024716,0.0794347733667481,50
PLU_050_28,25,0.4578285914942697,0.0470362713251015,50
PLU_050_29,25,0.4282577601541965,0.0786291406073215,50
PLU_050_30,25,0.3580023749546493,0.0359446802842093,50
PLU_050_31,25,0.2465860025650914,0.0136902163326198,50
PLU_050_32,25,0.6766418280638893,0.1154226992476349,50
PLU_050_33,25,0.598606393108614,0.1332481373791367,50
PLU_050_34,25,0.333192239723278,0.0468573862808893,50
PLU_050_35,25,0.4385611806282493,0.0501462632953666,50
PLU_050_36,25,0.3287916609204073,0.0417779957748599,50
PLU_050_37,25,0.6271607257559209,0.0826649250114011,50
PLU_050_38,25,0.5343444792618965,0.1190980309306558,50
PLU_050_39,25,0.5523270823327447,0.0816514957114801,50
PLU_050_40,25,0.300473336669556,0.0275583960302743,50
PLU_050_41,25,0.4322841574788916,0.0363150543005155,50
PLU_050_42,25,0.3975095417149893,0.039433959172928,50
PLU_050_43,25,0.2851942323433026,0.0231785761713083,50
PLU_050_44,25,0.443555799757588,0.0477268888344083,50
PLU_050_45,25,0.2685836355537172,0.0287572155645705,50
PLU_050_46,25,0.3164933957094594,0.0254925172580657,50
PLU_050_47,25,0.4397582152602755,0.0348136976842591,50
PLU_050_48,25,0.6038297989279304,0.1045200667192637,50
PLU_050_49,25,0.5816511258186583,0.1122967633224244,50
