Node,EMT_000,EMT_001,EMT_002,EMT_003,EMT_004,EMT_005,EMT_006,EMT_007,EMT_008,EMT_009,EMT_010,EMT_011,EMT_012,EMT_013,EMT_014,EMT_015,EMT_016,EMT_017,EMT_018,EMT_019,EMT_020,EMT_021,EMT_022,EMT_023,EMT_024,EMT_025,EMT_026,EMT_027,EMT_028,EMT_029,EMT_030,EMT_031,EMT_032,EMT_033,EMT_034,EMT_035,EMT_036,EMT_037,EMT_038,EMT_039,EMT_040,EMT_041,EMT_042,EMT_043,EMT_044,EMT_045,EMT_046,EMT_047,EMT_048,EMT_049,EMT_050,EMT_051,EMT_052,EMT_053,EMT_054,EMT_055,EMT_056,EMT_057,EMT_058,EMT_059,EMT_060,EMT_061,EMT_062,EMT_063,EMT_064,EMT_065,EMT_066,EMT_067,EMT_068,EMT_069,EMT_070,EMT_071,EMT_072,EMT_073,EMT_074,EMT_075,EMT_076,EMT_077,EMT_078,EMT_079,EMT_080,EMT_081,EMT_082,EMT_083,EMT_084,EMT_085,EMT_086,EMT_087,EMT_088,EMT_089,EMT_090,EMT_091,EMT_092,EMT_093,EMT_094,EMT_095,EMT_096,EMT_097,EMT_098,EMT_099,EMT_100
FOXC2,-6.670753143555492,3.9340563710035665,0.5730910303197084,-1.2126657034952975,-1.0525763170316957,1.0737573944440475,-2.426187304457268,1.8481916072161653,0.28717585042531074,-1.5698641849167474,0.025777125065803253,0.33403849482373155,1.226777899074664,0.5356295116486235,1.6158587233442483,-0.6236689597682905,-3.111878881622422,0.27888093364027916,-1.5654656476054984,2.981519673487877,-0.20950867467298695,0.4867543263635837,-0.15500825012922956,-0.29902740902741604,1.0719467238304532,-0.33993696725320544,0.8369291028974462,1.8159177156155284,0.8943745833456327,-1.5536554420994115,0.6813913050147383,-0.4061349226724502,-1.4156028753324998,-0.3086243259185218,-1.0553063981539956,1.1907745681178084,0.7384270029277938,-1.0487198865459717,0.2198597071438486,-0.38303605231332566,1.0509106481921082,-2.46864472677744,0.29026543427142504,0.1463909155647729,-2.647907174428103,0.15512322656671884,-1.2445123795655562,0.05568824143154551,-0.4737786301219323,1.4753923508490758,0.07727702369764432,0.04864941810100746,0.06174523573814135,4.367722732753774,-0.22566261269809854,1.6910015602234945,0.5565530768701628,1.7135265824350343,-0.8093957668458047,1.5631502546422682,-4.28688846376012,-5.216149331610175,-1.269743495184147,-2.982706536080358,0.710255773025429,0.3394109445456637,-2.0415040364659323,-0.930431146938701,-0.39090825113606514,-0.632825202527286,-2.057749773692688,0.6739119258762314,1.2691970710357199,-1.292071961737344,1.7225492902183575,-1.0079085494904605,0.8872331932002756,-0.7223575053926882,-0.8412328265837207,3.9326872735626455,0.08358424373224622,-0.11148684123900812,1.003779531768179,-1.0973550221498325,0.9927651648510997,-0.938365390884902,-4.10131549160215,-0.9540295796353958,0.6441897255583833,-1.0363993055660239,0.6760319683543374,-3.0336958100741174,1.8234205729935773,-0.7437451464062982,2.377228130502285,-2.204768327396719,-3.776515157739509,1.7914844063624005,-1.603178824223429,-0.9071895568532348,-0.9185347185654662
GSC,-2.5003973262515626,-1.2791284159337937,0.27841790378148845,1.6513551891618683,0.9259888407082817,1.738886652232456,-1.3153786249508816,1.734430106643769,0.03564830742026573,0.9542496569298388,0.18110315934984278,-0.34127873104360157,-1.859129873396294,0.6599150888164169,-1.6067343999587589,-1.1865135516922052,0.48304815248378435,0.5446469371901957,-0.25027433150737594,0.9851987830378187,-0.6109880015780703,0.31697568695149153,-0.3770071975766838,0.6409711677314064,0.4900415358318714,0.6408648591392002,1.2233739298982562,0.5071697340523071,-0.4280076598557681,-1.354341499406574,-0.2724206908428882,0.5926220813167191,1.9348450881248407,0.4813619691727273,-0.879621745205028,0.6477384463029686,1.149460991982411,0.2522014554763956,-0.5780280391924915,-0.46685629498446823,-1.0952489818773106,0.3766556889073236,-1.213360755707725,-1.0693663084525364,-0.6120570047350534,-0.8289468005186124,0.695735469497638,0.6968983330795808,0.9278680593730984,-0.884989307501048,-0.15514859107924445,0.3007159885289339,0.39320931810731174,1.0330673389728362,-1.003602447231269,0.31716342223899824,0.04654339040176022,-0.4176031705168006,0.5377966035346243,-0.05151026642067039,1.9752430596823418,1.013933054939432,1.3315743484100302,-0.3458011774352918,-0.9904026756142182,-1.2421660360782236,1.105854461027156,-1.1287457803109076,0.2783736527967759,0.9793963995504409,1.2255432094681542,-0.18393004157517887,-0.34419762732445913,1.2966568976623913,-1.2614542412585277,-0.6124631758566524,-0.5968744907252104,-0.681544534918393,-0.015375767781914528,1.7310827634405201,0.6274488629348353,0.2646506001092341,-0.9841833719435922,-0.6420228225954628,-1.1393927525567995,0.5663406297072373,0.5261246536452657,1.505409088043888,0.3768937706231443,-0.8134886664839525,1.2621207524470892,2.0444796143564026,-2.191310736294464,0.6379904798682425,1.9462253344099556,-0.43669396221205353,2.0129064482998213,0.6810567476870241,0.5358280474993512,-0.6395133741512105,1.5631370522112669
SNAI1,-10.997357198979879,-7.905292536417839,-0.43936508026026877,-0.7232998901646824,0.20162358654247312,2.6637753545753786,1.4784933987592466,-2.0050124748973253,-0.23486850673875284,-6.999580809312179,1.275408922740532,2.166802596784629,-1.7380272984210203,-0.3051137730481459,2.9841601690530926,3.5711835542812502,7.976436029545845,-2.844977966603062,-0.7338113709542766,4.668652436886899,-0.8177350028992992,-3.3526952534637613,-4.826393317692635,0.2918939550171622,1.174646908055389,-3.6117493886141063,-3.7177312562642997,-7.748894576949959,-0.0904668327356275,-3.005779165189989,-1.3271702700722432,0.7366420952783579,-6.778290337833411,-0.36684679545789295,1.4003331478735377,-3.608241296038163,-6.778049539347442,-0.8891643348363104,0.33094616801739113,1.1599276890468673,6.596472632414849,-1.5308025669446867,0.7915158742717593,-1.342765090999287,3.249192982634906,1.2007651495396867,-3.276352610187402,-3.7026371039035366,0.609040587776616,1.8297867783012567,-3.0123857669030354,-4.983817622879956,-7.896312213922776,-4.142133991990244,-1.152896543920596,-3.522959178433084,0.4933099346666326,0.1793809094071678,-1.9446979384036864,-1.4121871642071355,-3.511422360198921,-6.812908717165531,1.6567523243672795,-2.5485824309020355,4.35907594257844,6.214256267394072,-1.1020005199749205,-6.413381140886535,-0.21283123451433753,-0.3649787978317092,-2.208601405133623,6.697502270116128,1.8844699229804214,-4.945793515840826,-0.4083880575767965,0.4236894394735166,-0.9916112540655815,0.5631461696501292,1.9845658011675011,5.441920571968135,-0.8038758330174832,-1.3446915979581722,1.0144981676644835,-4.956244690811586,0.6741610823593464,0.2280779344173137,-7.2475759711736165,-0.1337924174045605,4.6958948848567434,-1.7378394286846592,1.698400209923537,-3.731898359073283,0.03679302612674835,3.2583329826190743,5.044462263148071,2.677740111294059,6.065254943998494,-2.0067346152663466,3.652304038804041,-2.3420772758390336,1.6472751046623733
SNAI2,-14.142094252393308,0.6497779036454622,-0.36035653771208315,0.9563025792935039,-1.301760727380272,1.834234401954621,-0.45695225702549996,-0.5934302705711891,0.07227524233078868,3.906912218730277,-0.7066676936905876,0.8382382041684839,0.08978253138691779,-0.5016188057825683,1.822045192756372,-5.684877191488963,-2.6938305644873823,-0.23994251759719729,-3.5376114286231903,-1.2597522494919213,0.0015936826069173318,-0.7328394875539036,-7.4041012121913425,-0.8164042328682902,1.2416111008442334,-1.137760014275176,-1.2427773455193336,-3.432617229581325,-0.5561965634608015,-2.3545927884720492,-0.9877385831190061,0.7153181145297521,-2.724507416033871,1.7745022163959687,5.673218235433693,0.08050713663729124,8.512494863257709,-1.8993178305186051,-0.07561084283311538,-0.766356021253213,-8.67598431972035,0.8553448403547439,-7.635145558428489,0.11236625493895071,-2.8136957034272125,-0.7556232296326548,-2.5526018164606996,-5.708208367244484,-0.8120068628712631,-4.002301134998948,-1.8428704619339493,2.738757555715033,-2.840889701314413,-11.346517663511122,0.16718252833375233,-0.989402559507445,-0.6080113606045741,-0.4590907554664412,-3.0876887754098403,-0.5052535110291283,4.2072184461801365,0.3875550932407704,-5.769698669154843,-0.8243793103321991,0.6248862013603109,-0.14661182518295035,-0.2786865177030415,-1.1782815725109428,-0.3757908071291499,-2.4077958918665097,-0.23512475824589524,-0.04745008070913469,-6.256058244942658,-0.3239204008402926,0.9546271163471637,-7.360233780984784,0.04399156791761246,1.8302047083976358,0.40820077914202374,-5.150093312603017,-0.12284982311730525,-0.1788596018692751,-1.0804167701339464,0.7256345875103121,4.603894690145279,1.0846465643321526,-3.405725448568998,-1.2240639234445712,-0.03866321733061022,0.3664764284458399,1.5924436654269272,-0.6482476603249349,-0.3585448616015378,-5.3782277724109635,-1.6827251169775412,0.7719543190126713,-0.5397405736960802,-4.166656073356295,-4.192112304484066,-5.427847306932187,3.4858758225652102
TGFbeta,-8.349928737613196,1.9370955945457917,0.07377170468016045,-5.491556956109143,1.8640083760300705,-3.4182383849697002,-2.425705883924506,-4.452721185871876,0.5673892323286047,-2.535177598215016,-0.8404384566385346,-0.8910529079525777,4.688136541586609,2.0043917009904675,-3.862066889166966,-2.1500468882732444,-1.0091508162194336,-1.357188993864735,-0.5767268581958082,1.3958653513514367,-1.7258261576343825,-1.2860623085850325,0.07186057459367917,-0.8720486492744364,0.5431262556828336,-3.107779395798788,1.8454529235547532,-1.391596779203637,0.5533049759199865,2.6030567082369243,0.4377302177671736,1.4836138445085785,4.426266073724659,-1.294002431593159,1.5396067617654405,-1.6301345400097769,-1.7402273817199054,0.8046661702854889,1.8005205832789979,-0.20776019395829395,1.7752848002012116,0.1910698723707187,-2.37133664500566,2.8503414019952937,0.9378337578325947,-1.819889538422432,-1.7721604364938,1.1006909193384125,2.3606648777965793,2.001436587053029,0.046725482518183245,-0.6725552924456056,0.38439006826180466,1.6982232998176747,1.525556900849456,0.5949295222156707,0.3103708815873913,-1.3010425573766653,1.5740340990980437,-0.1587492822623247,-6.343184921475153,1.4842514668563456,-2.341708538449751,0.8383286415296337,-2.3130420217966705,2.1172012950316157,-2.490055739737688,1.2845322757965132,-0.05631757588765617,-2.0689983480123435,2.5437793138977938,-0.5198244426389629,-0.1933918706811258,1.9639717998382524,2.0023425428806783,-1.15439218177159,1.2138443270207,-2.0561221793771027,0.3764083970382894,3.3744541417866833,1.928122147009344,-0.12142931222497905,-1.132821537359069,2.154607251801683,-1.9794606306147342,-0.7343477987816289,0.31029269435486223,-3.6315900233292564,0.11206139710796476,-1.3931537635746236,-4.131552467140427,4.381164015211257,-6.590061366475913,-1.2234918136159474,4.522433227573799,-1.224915895570519,5.784961465147607,-1.9610198596741946,-1.595321177669881,-0.5945307843192594,3.1418123152331354
TWIST1,-6.545436314087384,-1.6778363602265383,0.4945107162979462,0.2170588704824471,-0.3405235926246836,-2.694568198178388,1.0101458650561086,0.1331540958686915,-1.082206104279685,0.5378644265842567,-1.302040225156288,2.341985440912931,1.0592120586335672,-0.5804207537455341,-1.3228602528594413,-4.519891964561199,0.6881784659150441,2.4964202959477584,1.0676896362542445,-0.5543921860703076,-0.7082723851399799,2.7986947925664727,-2.149684716053511,-1.2096052626652405,0.9878290062040386,1.5115379007933547,2.635025972017228,-0.49233291232212134,0.6904541745623007,-2.9020134986125927,-0.32800067141601563,-0.1898161059513198,3.7165062795627137,0.3863030895561387,3.3691892377779675,-1.2010261987594426,-4.1919640122298265,0.6265062374852897,0.053450794519179154,0.20266088070787555,4.487793863741931,-1.8404737960717135,1.917082137751544,0.23514294757342905,2.4957967428354872,-1.766496649870231,-2.028351005591819,-2.990508323219089,-0.944932364508471,2.2637893603321904,2.2407645787024553,3.5683974871499884,3.4770946297834415,-4.650315776570909,0.7273379806426016,-3.3107569756047406,0.674769963877931,1.398202509363962,0.3344128415604701,-1.6292704597918826,3.4662356883350203,-4.595624664322709,4.116892903897025,-1.5896519507788949,-1.0584058780251437,0.8981162151016563,-0.9821841958936486,-2.9255027572071297,0.41062079826710496,1.309536585787402,-0.05740120689989292,-2.457851203947257,-3.0145097304773385,2.744875129195991,-2.0989288272869535,-1.2128557291205133,0.7820089569595244,0.02309206640731372,0.10274777944648156,1.4414580637434604,0.7058485728634628,0.35930838345520416,-1.8432604302782007,-2.1135521292079673,1.2921538083615893,0.8349681502914013,2.756738627963087,0.6264491616648552,1.9097442222252685,-0.3353410808753789,1.4407833453063261,-0.632547781237553,1.05335338574218,2.222585047827477,-3.4081380374748287,1.615250254165964,2.7677268563955075,-1.7559435140375796,-1.0806178837623441,-2.537815608365577,-1.2331814926797675
TWIST2,-4.615460995463579,1.7339592601684515,1.1432178112121583,1.7969713073829992,-0.9816285504095432,-0.7750594412541267,0.7944263832502577,0.030123478803407946,0.8692160340235373,0.4140624549467312,0.4234656493440894,2.0679752707701966,0.8195179827076212,-0.3081379204664961,-2.3696655614189908,-3.0608653444411846,-1.2734691478109952,-0.5246691868423633,-0.7173509025585417,-0.6556283940681489,-0.5591356074831701,1.286912921916419,-1.0424175164014546,-0.103579763297619,-0.003579883371168343,0.2555991375346845,0.3473770744785798,2.323154359169431,-0.37051845894541496,0.42953921887691743,-0.18399302589188304,1.23308669169437,-0.37895359282462726,-0.6908438258729468,2.338114935837519,0.09278723366688081,1.9563278365712806,0.37023831983358263,0.7099177903110948,-0.8894562968207516,1.854834728459852,1.1717135902450249,1.7356065259561642,0.06980843772171257,-2.2947829543386624,1.649012207815111,1.8858714861459367,-2.263560422357465,0.6879094247916929,-2.7214788981533715,1.4463643952795489,-3.1820530555558078,-1.0188818888755287,-4.177646908564996,1.0892791989007418,-2.668354355167714,0.83929832335651,-1.3079177378081095,0.9276200835536316,-1.494393818637391,1.6335604210509678,-2.1146196538683673,2.845960997190462,-1.2411714879789797,1.3499852028410317,1.084888377493514,1.0997117788724975,-1.4421612568103503,0.31418197665914976,0.04952961528655728,0.07705026193422164,-0.6608701303193083,2.277919430423938,0.2836503244304242,1.1504016154263303,-1.4334794206145838,0.7923148589971759,0.9315644786441194,-0.4606676978434631,-1.1606304634968343,-0.239183717744133,0.1941040442865865,-0.07396583099480192,-1.1699201237585337,-1.3918523772396953,-0.05680791270712073,2.9095562517950526,1.1348136424410478,0.5627429123972914,-0.4193766028479499,-1.0945668885239188,-0.1884374215598492,0.7856518206676976,2.1807646448899143,-0.0215142084254337,-0.1292201747414537,1.2462251211984563,-3.8525235921355905,0.13760808740092295,2.884580720127832,2.0560018698382083
