Network,Mean PC1 Coefficient
EMT_000_00,65.86445593466016
EMT_010_01,48.38780626944532
EMT_010_02,30.077588469012255
EMT_010_03,41.47998316286721
EMT_010_04,42.721625416707724
EMT_010_05,28.482340795246216
EMT_010_06,50.810835362112854
EMT_010_07,49.372044326189695
EMT_010_08,40.66445089407267
EMT_010_09,40.05117712915212
EMT_010_10,32.908019242367565
EMT_010_11,40.81432248323496
EMT_010_12,55.01563539072353
EMT_010_13,39.03379794304056
EMT_010_14,41.52935919305739
EMT_010_15,51.96216377172861
EMT_010_16,38.99386196976178
EMT_010_17,43.12951056267265
EMT_010_18,52.8381248219885
EMT_010_19,41.853111199669094
EMT_010_20,48.022175967354585
EMT_010_21,39.457390791251925
EMT_010_22,37.778582539431824
EMT_010_23,37.31136120442878
EMT_010_24,48.14646798200871
EMT_010_25,44.10372872146509
EMT_010_26,42.018921489475254
EMT_010_27,43.20107219498266
EMT_010_28,42.0467227107591
EMT_010_29,27.69317821089747
EMT_010_30,37.97948951445321
EMT_010_31,33.6457350228163
EMT_010_32,39.35395441208564
EMT_010_33,36.53291695950605
EMT_010_34,45.13397885157039
EMT_010_35,34.31862664601172
EMT_010_36,34.9784595930699
EMT_010_37,26.816241825218068
EMT_010_38,50.39993931056803
EMT_010_39,43.24520313473828
EMT_010_40,46.542663771855246
EMT_010_41,35.906794759762306
EMT_010_42,56.333090884099136
EMT_010_43,47.32185874033591
EMT_010_44,34.07387764233161
EMT_010_45,46.17255437372233
EMT_010_46,44.73291958038863
EMT_010_47,35.75562793900331
EMT_010_48,45.19149872015342
EMT_010_49,48.29431931898671
EMT_010_50,51.7335702996374
EMT_020_01,31.3015918421191
EMT_020_02,25.92965738075216
EMT_020_03,34.304375830936564
EMT_020_04,30.24364411654347
EMT_020_05,32.230767882750264
EMT_020_06,49.775956856804086
EMT_020_07,31.232025938502737
EMT_020_08,35.5434183142724
EMT_020_09,46.28834559921094
EMT_020_10,42.13780213524605
EMT_020_11,29.35048902339595
EMT_020_12,34.34613432654179
EMT_020_13,29.8176280989939
EMT_020_14,31.081467045585573
EMT_020_15,29.83907572017596
EMT_020_16,29.636019948745748
EMT_020_17,45.1452411120913
EMT_020_18,27.769995744682646
EMT_020_19,33.79513522662367
EMT_020_20,39.17419276486362
EMT_020_21,33.994940937801836
EMT_020_22,33.43292213347692
EMT_020_23,28.827874306105876
EMT_020_24,30.13636229097136
EMT_020_25,23.282345101852172
EMT_020_26,26.543799230914768
EMT_020_27,20.543572987540813
EMT_020_28,36.00270141244909
EMT_020_29,43.855807869511864
EMT_020_30,29.27662085944727
EMT_020_31,33.697867237570875
EMT_020_32,34.80319294265959
EMT_020_33,25.323293636553714
EMT_020_34,27.797653243525637
EMT_020_35,36.331679780842116
EMT_020_36,30.563253399452464
EMT_020_37,27.729686524367253
EMT_020_38,33.82049467867019
EMT_020_39,26.61725768694248
EMT_020_40,28.742641856069113
EMT_020_41,32.8176630131523
EMT_020_42,27.501693125145856
EMT_020_43,27.583305571264738
EMT_020_44,34.92585581681598
EMT_020_45,41.29485508250062
EMT_020_46,43.570855477114904
EMT_020_47,28.888182005472153
EMT_020_48,31.423334575310072
EMT_020_49,24.34456812591136
EMT_020_50,27.01179926536646
EMT_030_01,40.13387278926877
EMT_030_02,24.992752313698375
EMT_030_03,22.610173985826926
EMT_030_04,27.955613903397527
EMT_030_05,29.220381911568843
EMT_030_06,28.83896122169783
EMT_030_07,21.596692520530247
EMT_030_08,27.963395976893217
EMT_030_09,31.58086489727507
EMT_030_10,27.82528371059729
EMT_030_11,18.72346035443153
EMT_030_12,37.18106938172796
EMT_030_13,27.41967415518074
EMT_030_14,29.459770629538795
EMT_030_15,28.85399655960945
EMT_030_16,27.465934075126786
EMT_030_17,23.993219831246833
EMT_030_18,25.22217406965462
EMT_030_19,26.557520018249004
EMT_030_20,24.61542783417269
EMT_030_21,32.51723711345813
EMT_030_22,26.56869503051472
EMT_030_23,28.91780306768452
EMT_030_24,34.81742722904983
EMT_030_25,29.621885349900282
EMT_030_26,23.8638403747544
EMT_030_27,29.374678018407153
EMT_030_28,24.327895572475775
EMT_030_29,35.419107179239575
EMT_030_30,24.856032129090583
EMT_030_31,34.53234924796935
EMT_030_32,30.426237362672595
EMT_030_33,21.74020523503978
EMT_030_34,28.09222585833198
EMT_030_35,27.79632821582001
EMT_030_36,24.573450669090708
EMT_030_37,24.06908276577883
EMT_030_38,34.767903833338124
EMT_030_39,34.670581098600195
EMT_030_40,25.689912937241186
EMT_030_41,35.523344880817135
EMT_030_42,36.305169092100925
EMT_030_43,38.43895365653917
EMT_030_44,15.41994964211385
EMT_030_45,30.601373309853063
EMT_030_46,30.86491318613442
EMT_030_47,32.04118289963071
EMT_030_48,24.11032445516659
EMT_030_49,29.267523978888487
EMT_030_50,33.356004287962996
EMT_040_01,25.407998527715485
EMT_040_02,28.502738764653873
EMT_040_03,32.9837807863504
EMT_040_04,23.288723690643362
EMT_040_05,25.041973647222918
EMT_040_06,29.403872707069276
EMT_040_07,23.368583419293586
EMT_040_08,23.128532536922567
EMT_040_09,23.711944790515666
EMT_040_10,25.3747550829166
EMT_040_11,22.941282129503325
EMT_040_12,25.79902845254719
EMT_040_13,33.897081448147674
EMT_040_14,22.801575454784405
EMT_040_15,22.278233421864844
EMT_040_16,23.292972629625613
EMT_040_17,19.337042205796596
EMT_040_18,29.610540470973298
EMT_040_19,27.855009074480385
EMT_040_20,30.389725585972414
EMT_040_21,21.32501410241766
EMT_040_22,32.4226973908973
EMT_040_23,26.45595108158972
EMT_040_24,33.894809890693985
EMT_040_25,33.33196544910692
EMT_040_26,22.052757758117373
EMT_040_27,22.70347854357724
EMT_040_28,29.702471385170433
EMT_040_29,27.494314696507118
EMT_040_30,24.825661380337365
EMT_040_31,20.721971386907384
EMT_040_32,21.748134920713458
EMT_040_33,26.550524167272933
EMT_040_34,26.047149320500054
EMT_040_35,22.813603150745216
EMT_040_36,20.84860069086183
EMT_040_37,19.346356846193107
EMT_040_38,26.049272632298063
EMT_040_39,21.70892896578747
EMT_040_40,26.74743654992488
EMT_040_41,26.010783807392812
EMT_040_42,24.58552495650641
EMT_040_43,21.15114341083934
EMT_040_44,24.14488136471867
EMT_040_45,21.454429531824314
EMT_040_46,23.86165402328518
EMT_040_47,24.286480840798482
EMT_040_48,28.871749489655308
EMT_040_49,34.395118256006825
EMT_040_50,22.587549170002895
EMT_050_01,22.34571892666037
EMT_050_02,24.219765493915315
EMT_050_03,25.85946170208965
EMT_050_04,31.68126103271284
EMT_050_05,22.808090150811164
EMT_050_06,22.39009756861477
EMT_050_07,26.538058870868696
EMT_050_08,28.719219144283677
EMT_050_09,24.461128961705477
EMT_050_10,28.52186434693356
EMT_050_11,31.35939350559925
EMT_050_12,21.72450040258939
EMT_050_13,20.458636178533403
EMT_050_14,31.845281929946275
EMT_050_15,22.936194537798976
EMT_050_16,34.238988211535045
EMT_050_17,28.064723683607355
EMT_050_18,22.80948169098704
EMT_050_19,26.698751976039702
EMT_050_20,20.020597091056388
EMT_050_21,28.93448793592326
EMT_050_22,22.08280342358932
EMT_050_23,23.583596134417864
EMT_050_24,31.706143981715833
EMT_050_25,23.426305238111365
EMT_050_26,21.47922722921733
EMT_050_27,20.790381845321708
EMT_050_28,27.584636039021284
EMT_050_29,21.592630555612672
EMT_050_30,20.959297052995527
EMT_050_31,26.183829004549985
EMT_050_32,27.170736247452975
EMT_050_33,24.22340983332063
EMT_050_34,24.38140101207935
EMT_050_35,25.716428613324943
EMT_050_36,18.080879068029198
EMT_050_37,23.940149666761567
EMT_050_38,20.077662918046144
EMT_050_39,26.696420951800896
EMT_050_40,18.492540512335953
EMT_050_41,21.805630495502946
EMT_050_42,21.509012677062117
EMT_050_43,27.872218853269317
EMT_050_44,29.812106545197352
EMT_050_45,15.800107870053532
EMT_050_46,25.39245889757364
EMT_050_47,19.948846474795502
EMT_050_48,27.524328346952238
EMT_050_49,21.183855375694993
EMT_050_50,29.369320358733322
EMT_060_01,19.061575027734435
EMT_060_02,24.361344033327843
EMT_060_03,27.525704286903956
EMT_060_04,21.074577070151854
EMT_060_05,24.74289997627953
EMT_060_06,23.11994383940425
EMT_060_07,22.80447685258416
EMT_060_08,21.40986723580921
EMT_060_09,28.474057660590013
EMT_060_10,27.52946416828513
EMT_060_11,28.174163560398235
EMT_060_12,23.62739468969177
EMT_060_13,23.331395041762214
EMT_060_14,27.565486757293478
EMT_060_15,22.06936835023901
EMT_060_16,21.150676290126633
EMT_060_17,25.337369065724634
EMT_060_18,27.108798427529194
EMT_060_19,32.99610307507728
EMT_060_20,25.57369538152433
EMT_060_21,19.345251496544222
EMT_060_22,26.229655554223555
EMT_060_23,23.395481755420505
EMT_060_24,28.295536585530197
EMT_060_25,21.32883262360273
EMT_060_26,22.981506856073516
EMT_060_27,26.17475227964787
EMT_060_28,26.917171400667318
EMT_060_29,20.797842710726208
EMT_060_30,27.774884753028697
EMT_060_31,27.581936336353905
EMT_060_32,21.729956229666293
EMT_060_33,14.45651570952584
EMT_060_34,25.48518890331426
EMT_060_35,27.713431676926263
EMT_060_36,20.493864006621315
EMT_060_37,20.486189549838787
EMT_060_38,23.508461038663167
EMT_060_39,24.429946381500198
EMT_060_40,31.119386834189747
EMT_060_41,31.199700612297754
EMT_060_42,27.82612387005316
EMT_060_43,25.96021194925727
EMT_060_44,30.76495737577693
EMT_060_45,20.383808063687276
EMT_060_46,21.75137695614977
EMT_060_47,23.369745322328505
EMT_060_48,19.090103797761167
EMT_060_49,23.02549131555359
EMT_060_50,28.45142246849965
EMT_070_01,26.135693670196005
EMT_070_02,19.450303047624217
EMT_070_03,24.776241945396325
EMT_070_04,19.11673461768403
EMT_070_05,33.410492350663986
EMT_070_06,24.53536550429957
EMT_070_07,29.388310068663
EMT_070_08,29.31412561757088
EMT_070_09,28.507245367312137
EMT_070_10,16.93216526391039
EMT_070_11,24.275911925119587
EMT_070_12,22.00302035909438
EMT_070_13,34.90619327015954
EMT_070_14,22.007355745751468
EMT_070_15,13.101979160386628
EMT_070_16,24.71361191647909
EMT_070_17,19.99051721099951
EMT_070_18,24.77575638170475
EMT_070_19,22.44649949326776
EMT_070_20,28.32226964260984
EMT_070_21,25.879504113555594
EMT_070_22,14.137199975511384
EMT_070_23,19.166658083185805
EMT_070_24,18.45490669612198
EMT_070_25,22.381953471455965
EMT_070_26,22.731629113257526
EMT_070_27,30.536535995142252
EMT_070_28,22.229317422575296
EMT_070_29,21.83470661625589
EMT_070_30,19.949688603103926
EMT_070_31,22.3517831778928
EMT_070_32,25.581019464720654
EMT_070_33,27.25398642720201
EMT_070_34,24.76540795230259
EMT_070_35,29.874006388957913
EMT_070_36,29.265888860030763
EMT_070_37,21.334250282833665
EMT_070_38,22.894435444648046
EMT_070_39,27.29489264751074
EMT_070_40,29.99147045540529
EMT_070_41,22.488574330300782
EMT_070_42,26.562776257260982
EMT_070_43,19.751039591382337
EMT_070_44,25.65795513313963
EMT_070_45,21.564947950561155
EMT_070_46,23.657040368707936
EMT_070_47,20.672081474519985
EMT_070_48,20.828349235231368
EMT_070_49,25.11110212113281
EMT_070_50,22.65506924095176
EMT_080_01,23.458003427747002
EMT_080_02,20.922226180526934
EMT_080_03,27.6070124169252
EMT_080_04,24.104050966982136
EMT_080_05,25.284205493740593
EMT_080_06,25.722062251314902
EMT_080_07,25.891010658661205
EMT_080_08,24.954694861693095
EMT_080_09,23.791099949053525
EMT_080_10,21.42502150887227
EMT_080_11,20.61329312826988
EMT_080_12,17.361829559878736
EMT_080_13,24.067327783112397
EMT_080_14,23.156452364691393
EMT_080_15,30.803539980540826
EMT_080_16,27.600880535200695
EMT_080_17,22.351630413921107
EMT_080_18,24.11180887133141
EMT_080_19,25.376145266085867
EMT_080_20,22.056040030078215
EMT_080_21,25.423309262927177
EMT_080_22,21.066192074703032
EMT_080_23,21.834221594311924
EMT_080_24,24.045249645597906
EMT_080_25,24.197392159095447
EMT_080_26,19.529071197198082
EMT_080_27,25.347687552574392
EMT_080_28,24.134449745973885
EMT_080_29,25.6771975813314
EMT_080_30,23.930706800135145
EMT_080_31,28.068009302191978
EMT_080_32,19.01830637145415
EMT_080_33,22.986569680373652
EMT_080_34,23.308668361146914
EMT_080_35,22.329232151552965
EMT_080_36,22.298956994599862
EMT_080_37,28.360293927319823
EMT_080_38,19.336462534233682
EMT_080_39,21.878714131960116
EMT_080_40,21.186793068852655
EMT_080_41,21.491852323449077
EMT_080_42,23.435248723993546
EMT_080_43,24.08225581181428
EMT_080_44,21.496347476113854
EMT_080_45,21.406196230081118
EMT_080_46,24.751477568338895
EMT_080_47,20.723897119641336
EMT_080_48,23.891257564752244
EMT_080_49,24.521376762338377
EMT_080_50,20.8424189507694
EMT_090_01,21.148083934908318
EMT_090_02,23.65288154932721
EMT_090_03,20.474960795556616
EMT_090_04,24.188779797065777
EMT_090_05,19.234133971721814
EMT_090_06,24.964530050378556
EMT_090_07,21.041812693467
EMT_090_08,25.737504619940136
EMT_090_09,26.675613509812635
EMT_090_10,20.334737792675064
EMT_090_11,23.432955683862726
EMT_090_12,19.365002618094806
EMT_090_13,23.106564148820198
EMT_090_14,32.20037582621416
EMT_090_15,22.38239366235645
EMT_090_16,22.242483262123677
EMT_090_17,31.29353240439871
EMT_090_18,20.76491570164665
EMT_090_19,24.788704577526694
EMT_090_20,21.629648627177176
EMT_090_21,29.375576183687762
EMT_090_22,20.871051762968285
EMT_090_23,22.70859607666447
EMT_090_24,26.797659051190763
EMT_090_25,19.234634911578933
EMT_090_26,21.315325592669886
EMT_090_27,22.91009691265391
EMT_090_28,18.09998704518968
EMT_090_29,23.23460819208082
EMT_090_30,33.60762983079009
EMT_090_31,26.409996407942177
EMT_090_32,19.0535657102248
EMT_090_33,24.45333054772921
EMT_090_34,21.452119817027356
EMT_090_35,27.86633232167345
EMT_090_36,21.39559698488924
EMT_090_37,29.723185162463015
EMT_090_38,22.53153345069283
EMT_090_39,19.314514570243976
EMT_090_40,20.507706879394945
EMT_090_41,21.826599576734424
EMT_090_42,18.68459597661289
EMT_090_43,24.227971926453
EMT_090_44,26.036779722829912
EMT_090_45,23.87383301939267
EMT_090_46,18.42273152533771
EMT_090_47,19.936540711277786
EMT_090_48,22.536021161390988
EMT_090_49,19.802947486859082
EMT_090_50,22.237758776330104
EMT_100_01,20.019933987840275
EMT_100_02,21.33492227202453
EMT_100_03,23.0247207412946
EMT_100_04,22.792105194045657
EMT_100_05,25.65371729103694
EMT_100_06,28.100982343241313
EMT_100_07,22.554681958583313
EMT_100_08,27.781004863117484
EMT_100_09,26.076244966316683
EMT_100_10,21.903821670394784
EMT_100_11,23.31917173692963
EMT_100_12,18.36349776869123
EMT_100_13,18.706531564725008
EMT_100_14,25.655817179032326
EMT_100_15,25.93197359431212
EMT_100_16,26.609409020783005
EMT_100_17,24.098575982846995
EMT_100_18,19.936528323414556
EMT_100_19,27.48050962339535
EMT_100_20,22.02364413326133
EMT_100_21,25.524490476151403
EMT_100_22,19.231215394899152
EMT_100_23,25.113810828296714
EMT_100_24,30.87540640938181
EMT_100_25,18.300771036324598
EMT_100_26,21.14494969251926
EMT_100_27,20.75372809166379
EMT_100_28,23.33888693827013
EMT_100_29,17.599778782411807
EMT_100_30,21.726426736674874
EMT_100_31,21.25569790854628
EMT_100_32,25.403697905706437
EMT_100_33,27.147940898722407
EMT_100_34,27.146893108873325
EMT_100_35,22.611969671698944
EMT_100_36,22.376223953324196
EMT_100_37,18.274778642743122
EMT_100_38,23.61029838349877
EMT_100_39,28.775647784779427
EMT_100_40,29.681518565735324
EMT_100_41,28.25806114339465
EMT_100_42,21.784763064436323
EMT_100_43,22.523826029967083
EMT_100_44,26.7537481583319
EMT_100_45,28.046461684528452
EMT_100_46,21.86645274745807
EMT_100_47,21.796544051720176
EMT_100_48,21.977681957783446
EMT_100_49,25.606096493818303
EMT_100_50,18.463674821066995
