Network,Number of Swaps,Influence Team Strength,PC1 Variance,Number of PCs
10R000_00,0,0.101351813,0.730613122,7
10R010_01,10,0.0831936565922986,0.8189212416999408,4
10R010_02,10,0.1458802486924995,0.8088786643344148,3
10R010_03,10,0.1516004606094899,0.8658383147777312,2
10R010_04,10,0.1617832132787549,0.9005144226460529,1
10R010_05,10,0.1404229311134692,0.8134158098208144,3
10R010_06,10,0.1142707867766442,0.8993123739165544,2
10R010_07,10,0.1278461141198864,0.8451578064054579,3
10R010_08,10,0.0807621913784494,0.793054900951682,6
10R010_09,10,0.144071575430962,0.8140565086978033,3
10R010_10,10,0.1875704833234401,0.9000609129466172,1
10R050_01,50,0.1268952567041548,0.7849198138315948,8
10R050_02,50,0.0730416368336438,0.6947895887472852,13
10R050_03,50,0.0494311283073454,0.6135557656347866,14
10R050_04,50,0.0915493478644156,0.7248444546518827,8
10R050_05,50,0.072785978742337,0.6545861206760727,11
10R050_06,50,0.064668638923798,0.5664195628693152,14
10R050_07,50,0.0848097201262631,0.8158776373442859,5
10R050_08,50,0.0890189776683712,0.7172695796485647,11
10R050_09,50,0.0934773783768571,0.7636522108697463,8
10R050_10,50,0.0788260398152551,0.7591797584635707,10
10R100_01,100,0.0232081383262681,0.4624090358784325,17
10R100_02,100,0.023261631135604,0.5272903547263792,15
10R100_03,100,0.0443247170146153,0.4723989788795557,16
10R100_04,100,0.03405961287541,0.5222225203004218,15
10R100_05,100,0.0302454299314847,0.6291713636053219,12
10R100_06,100,0.0414428169520403,0.4037454234154168,17
10R100_07,100,0.0355699986502852,0.5171888692551275,15
10R100_08,100,0.0243195049736836,0.537629430578237,15
10R100_09,100,0.0801166656551608,0.4996023282572148,16
10R100_10,100,0.0250396016531362,0.2790801728295954,19
10R200_01,200,0.043248889902435,0.4678390212034067,16
10R200_02,200,0.0143398103100002,0.2287687128103865,21
10R200_03,200,0.0122188282786279,0.2955813302404998,20
10R200_04,200,0.0130893657268675,0.2498331661129375,20
10R200_05,200,0.0389008871029474,0.3375527505820906,19
10R200_06,200,0.0121220857686763,0.2594771210429642,19
10R200_07,200,0.0119700497496068,0.4214586259257414,17
10R200_08,200,0.0226916149414258,0.4719806662594964,16
10R200_09,200,0.0243119952432509,0.2482969514577271,20
10R200_10,200,0.0140217679422934,0.2719688997620952,19
10R300_01,300,0.0257188076095063,0.3421843494876106,18
10R300_02,300,0.0151135834381787,0.3494288424776262,19
10R300_03,300,0.0144662925394139,0.21860197215994,19
10R300_04,300,0.0101030102611278,0.3510086057655315,19
10R300_05,300,0.0183456347433571,0.482889987235548,16
10R300_06,300,0.0278300342678574,0.3192933796082784,19
10R300_07,300,0.0140715773521344,0.2558164883009168,18
10R300_08,300,0.0209249387490415,0.2558200206328523,21
10R300_09,300,0.010489309609636,0.3401556708741529,20
10R300_10,300,0.0064933167848806,0.2999814814757012,20
10R400_01,400,0.0150973015139222,0.4069000858771913,18
10R400_02,400,0.0119869393565588,0.2021425752460629,19
10R400_03,400,0.0187467832956988,0.2577602188708196,20
10R400_04,400,0.0138417650415547,0.3925595020144776,18
10R400_05,400,0.0203824076710804,0.4499027125230455,18
10R400_06,400,0.009007010192595,0.2116040868548677,20
10R400_07,400,0.008955805118189,0.2819480516734171,20
10R400_08,400,0.0055733138422234,0.3528447058129899,19
10R400_09,400,0.0081709100599359,0.2509890177216995,21
10R400_10,400,0.0114539698090736,0.3267023549774471,20
10R500_01,500,0.003579689635779,0.2241560711432605,19
10R500_02,500,0.008101978028997,0.314803397738492,19
10R500_03,500,0.006111252324337,0.2776155912651017,19
10R500_04,500,0.018038425478215,0.3378018481034061,20
10R500_05,500,0.0196630874049343,0.3949453384867217,17
10R500_06,500,0.0168818451161964,0.2571847473467181,21
10R500_07,500,0.0094321238353123,0.3457781039976685,20
10R500_08,500,0.0132383671416352,0.3489198183672239,19
10R500_09,500,0.0171559512802154,0.1991887135402749,21
10R500_10,500,0.0102817054791705,0.2854562440579462,18
15R000_00,0,0.151846807,0.867868588,2
15R010_01,10,0.0905415863945241,0.7286992688268054,8
15R010_02,10,0.0815055700323792,0.7443233622008216,8
15R010_03,10,0.0984560696282353,0.7166093214275097,9
15R010_04,10,0.0953223764809631,0.7296978453634939,8
15R010_05,10,0.0645856631177333,0.7007014583973326,11
15R010_06,10,0.1078066959010552,0.7433019634354673,8
15R010_07,10,0.0982517422810422,0.7541858663390866,8
15R010_08,10,0.0683336532740571,0.5591212409831747,15
15R010_09,10,0.0995365036567095,0.7041614914052823,8
15R010_10,10,0.0934375267565604,0.7460510297627791,6
15R050_01,50,0.0569947001129396,0.4974306721436958,16
15R050_02,50,0.0723080539317234,0.777660943098208,7
15R050_03,50,0.0528631136585221,0.4945945723217832,15
15R050_04,50,0.028179314170013,0.3569817685527862,18
15R050_05,50,0.0402914512035027,0.4268118676518951,16
15R050_06,50,0.0500191015543456,0.666065518821881,12
15R050_07,50,0.0361445619896879,0.5390513083995337,16
15R050_08,50,0.0355059942248397,0.506706236735537,17
15R050_09,50,0.0642299573325565,0.6583830258658961,13
15R050_10,50,0.033931054545473,0.4443696474032556,18
15R100_01,100,0.0362796057047146,0.6360296436395415,14
15R100_02,100,0.0206615687637367,0.2096391467982608,20
15R100_03,100,0.0235644423351346,0.3208185059721786,19
15R100_04,100,0.0265734619111662,0.3512656627756598,17
15R100_05,100,0.0243809969731703,0.3026945079591911,20
15R100_06,100,0.0249766141866478,0.2199752096510558,21
15R100_07,100,0.0261269369691208,0.2192021687162212,21
15R100_08,100,0.0134875081486318,0.2706378184140902,19
15R100_09,100,0.0281911269312579,0.3515177642383397,18
15R100_10,100,0.0202014465885685,0.3534054904038132,18
15R200_01,200,0.0171987081181963,0.1934601621412911,20
15R200_02,200,0.0188850152174197,0.3202094609458364,18
15R200_03,200,0.017480232348669,0.3486945403644446,19
15R200_04,200,0.0081340679915166,0.1950483136461412,21
15R200_05,200,0.0308389434178523,0.2735580193870427,20
15R200_06,200,0.0126570843999731,0.4225729093969746,20
15R200_07,200,0.0118757256055776,0.2810440947724625,18
15R200_08,200,0.0134567418053606,0.232276340623606,23
15R200_09,200,0.0343856160935386,0.3343580675307074,21
15R200_10,200,0.0199572248060049,0.3477848809189208,19
15R300_01,300,0.0059247161914517,0.2359587412601389,20
15R300_02,300,0.0163207821821451,0.4244738094098954,19
15R300_03,300,0.0270014259708934,0.290454354263663,18
15R300_04,300,0.0096870483639728,0.3222718527772703,18
15R300_05,300,0.0122319195580345,0.3186685768397762,18
15R300_06,300,0.0162867018748784,0.2417396797717395,20
15R300_07,300,0.0266857930331039,0.3092747173025892,19
15R300_08,300,0.0091968712815248,0.2920157291596022,19
15R300_09,300,0.0183359978727908,0.3253613851641759,22
15R300_10,300,0.0134656267203576,0.1991584854328263,19
15R400_01,400,0.007326720242147,0.1969109364560618,23
15R400_02,400,0.0061886081992058,0.3343605024750956,20
15R400_03,400,0.0205743401350532,0.3751016015216393,18
15R400_04,400,0.0097352148478912,0.3366999841790959,19
15R400_05,400,0.0126657728986416,0.4108823896296222,20
15R400_06,400,0.0169214712670237,0.3185899879111608,18
15R400_07,400,0.0103498991953227,0.2766468357303289,20
15R400_08,400,0.025115974392811,0.2994403038471119,19
15R400_09,400,0.0101072285231112,0.3727800459251779,19
15R400_10,400,0.0042480465226378,0.2156587606147009,21
15R500_01,500,0.0229878130182763,0.2867733033976159,20
15R500_02,500,0.0186606711065954,0.2851325541311879,20
15R500_03,500,0.0036278065735426,0.2825627818947302,19
15R500_04,500,0.0107902891736132,0.2340097669897835,20
15R500_05,500,0.0246968166405917,0.2429730749218179,20
15R500_06,500,0.018633507390788,0.22288333629235,20
15R500_07,500,0.0189718023692997,0.2378433536122761,19
15R500_08,500,0.019502723136504,0.3275812410437376,19
15R500_09,500,0.0207465781776549,0.5146618854000852,16
15R500_10,500,0.0186101947386886,0.2074992705262119,21
