GeneSetID,Genes
SCLC,BEX1
SCLC,ASCL1
SCLC,INSM1
SCLC,CHGA
SCLC,TAGLN3
SCLC,KIF5C
SCLC,CRMP1
SCLC,SCG3
SCLC,SYT4
SCLC,RTN1
SCLC,MYT1
SCLC,SYP
SCLC,KIF1A
SCLC,TMSB15A
SCLC,SYN1
SCLC,SYT11
SCLC,RUNDC3A
SCLC,TFF3
SCLC,CHGB
SCLC,FAM57B
SCLC,SH3GL2
SCLC,BSN
SCLC,SEZ6
SCLC,TMSB15B
SCLC,CELF3
SCLC,RAB27B
SCLC,TGFBR2
SCLC,SLC16A5
SCLC,S100A10
SCLC,ITGB4
SCLC,YAP1
SCLC,LGALS3
SCLC,EPHA2
SCLC,S100A16
SCLC,PLAU
SCLC,ABCC3
SCLC,ARHGDIB
SCLC,CYR61
SCLC,PTGES
SCLC,CCND1
SCLC,IFITM2
SCLC,IFITM3
SCLC,AHNAK
SCLC,CAV2
SCLC,TACSTD2
SCLC,TGFBI
SCLC,EMP1
SCLC,CAV1
SCLC,ANXA1
SCLC,MYOF
EMT,CDH1
EMT,CDH11
EMT,CLDN2
EMT,CLDN4
EMT,DDR2
EMT,EPCAM
EMT,ESRP1
EMT,FAP
EMT,GLI1
EMT,KRT18
EMT,KRT19
EMT,KRT20
EMT,KRT7
EMT,KRT8
EMT,LUM
EMT,MUC1
EMT,PALLD
EMT,PDGFRB
EMT,PDPN
EMT,POSTN
EMT,SPARC
EMT,TNC
Alveolar Fibrotic- Epithelial,A2M
Alveolar Fibrotic- Epithelial,ABCA6
Alveolar Fibrotic- Epithelial,ADAMTS8
Alveolar Fibrotic- Epithelial,ADARB1
Alveolar Fibrotic- Epithelial,ADH1B
Alveolar Fibrotic- Epithelial,ALDH1A1
Alveolar Fibrotic- Epithelial,ANGPT1
Alveolar Fibrotic- Epithelial,ANO1
Alveolar Fibrotic- Epithelial,ANXA1
Alveolar Fibrotic- Epithelial,AOC3
Alveolar Fibrotic- Epithelial,ARHGAP20
Alveolar Fibrotic- Epithelial,BMP5
Alveolar Fibrotic- Epithelial,CAMK2N1
Alveolar Fibrotic- Epithelial,CASP12
Alveolar Fibrotic- Epithelial,CASP4
Alveolar Fibrotic- Epithelial,CD14
Alveolar Fibrotic- Epithelial,CD82
Alveolar Fibrotic- Epithelial,CD8A
Alveolar Fibrotic- Epithelial,CDH11
Alveolar Fibrotic- Epithelial,CDH13
Alveolar Fibrotic- Epithelial,CDO1
Alveolar Fibrotic- Epithelial,CES1
Alveolar Fibrotic- Epithelial,CHRDL1
Alveolar Fibrotic- Epithelial,CMKLR1
Alveolar Fibrotic- Epithelial,COL13A1
Alveolar Fibrotic- Epithelial,COL6A3
Alveolar Fibrotic- Epithelial,COL6A6
Alveolar Fibrotic- Epithelial,COLEC12
Alveolar Fibrotic- Epithelial,CYP3A5
Alveolar Fibrotic- Epithelial,CYP7B1
Alveolar Fibrotic- Epithelial,DHRS3
Alveolar Fibrotic- Epithelial,DKK3
Alveolar Fibrotic- Epithelial,DYNC2LI1
Alveolar Fibrotic- Epithelial,EFCC1
Alveolar Fibrotic- Epithelial,ELMO1
Alveolar Fibrotic- Epithelial,ENPP2
Alveolar Fibrotic- Epithelial,F11R
Alveolar Fibrotic- Epithelial,FGFR4
Alveolar Fibrotic- Epithelial,FIBIN
Alveolar Fibrotic- Epithelial,FMO2
Alveolar Fibrotic- Epithelial,FMO3
Alveolar Fibrotic- Epithelial,G0S2
Alveolar Fibrotic- Epithelial,GDF10
Alveolar Fibrotic- Epithelial,GPC3
Alveolar Fibrotic- Epithelial,GPM6B
Alveolar Fibrotic- Epithelial,GRIA1
Alveolar Fibrotic- Epithelial,HIVEP3
Alveolar Fibrotic- Epithelial,HMCN1
Alveolar Fibrotic- Epithelial,HSD11B1
Alveolar Fibrotic- Epithelial,IGSF10
Alveolar Fibrotic- Epithelial,IL15RA
Alveolar Fibrotic- Epithelial,INMT
Alveolar Fibrotic- Epithelial,IRS2
Alveolar Fibrotic- Epithelial,ISLR
Alveolar Fibrotic- Epithelial,ITGA2
Alveolar Fibrotic- Epithelial,ITGA8
Alveolar Fibrotic- Epithelial,KANK4
Alveolar Fibrotic- Epithelial,KCNK6
Alveolar Fibrotic- Epithelial,KIFC3
Alveolar Fibrotic- Epithelial,LAMA4
Alveolar Fibrotic- Epithelial,LBH
Alveolar Fibrotic- Epithelial,LIMS1
Alveolar Fibrotic- Epithelial,LINC00968
Alveolar Fibrotic- Epithelial,LITAF
Alveolar Fibrotic- Epithelial,LMCD1
Alveolar Fibrotic- Epithelial,LRRN3
Alveolar Fibrotic- Epithelial,LSAMP
Alveolar Fibrotic- Epithelial,LTBP4
Alveolar Fibrotic- Epithelial,LUM
Alveolar Fibrotic- Epithelial,MACF1
Alveolar Fibrotic- Epithelial,MAL
Alveolar Fibrotic- Epithelial,MAMDC2
Alveolar Fibrotic- Epithelial,MAOB
Alveolar Fibrotic- Epithelial,MCOLN2
Alveolar Fibrotic- Epithelial,MCOLN3
Alveolar Fibrotic- Epithelial,METTL7A
Alveolar Fibrotic- Epithelial,MFAP4
Alveolar Fibrotic- Epithelial,MME
Alveolar Fibrotic- Epithelial,MMP19
Alveolar Fibrotic- Epithelial,MMP2
Alveolar Fibrotic- Epithelial,MOXD1
Alveolar Fibrotic- Epithelial,MRC2
Alveolar Fibrotic- Epithelial,MYH10
Alveolar Fibrotic- Epithelial,NABP1
Alveolar Fibrotic- Epithelial,NCAM2
Alveolar Fibrotic- Epithelial,NEBL
Alveolar Fibrotic- Epithelial,NPNT
Alveolar Fibrotic- Epithelial,NRP1
Alveolar Fibrotic- Epithelial,NTNG1
Alveolar Fibrotic- Epithelial,NUAK1
Alveolar Fibrotic- Epithelial,OLFML3
Alveolar Fibrotic- Epithelial,OR7E47P
Alveolar Fibrotic- Epithelial,PDGFRA
Alveolar Fibrotic- Epithelial,PER2
Alveolar Fibrotic- Epithelial,PGAP2
Alveolar Fibrotic- Epithelial,PIEZO2
Alveolar Fibrotic- Epithelial,PLEKHH2
Alveolar Fibrotic- Epithelial,PLXDC2
Alveolar Fibrotic- Epithelial,PRELP
Alveolar Fibrotic- Epithelial,PRG4
Alveolar Fibrotic- Epithelial,PTGIR
Alveolar Fibrotic- Epithelial,RARRES2
Alveolar Fibrotic- Epithelial,RGS3
Alveolar Fibrotic- Epithelial,ROBO2
Alveolar Fibrotic- Epithelial,S1PR2
Alveolar Fibrotic- Epithelial,SAMHD1
Alveolar Fibrotic- Epithelial,SAT1
Alveolar Fibrotic- Epithelial,SCN7A
Alveolar Fibrotic- Epithelial,SERPINB9
Alveolar Fibrotic- Epithelial,SERPING1
Alveolar Fibrotic- Epithelial,SGCD
Alveolar Fibrotic- Epithelial,SGCG
Alveolar Fibrotic- Epithelial,SLC1A5
Alveolar Fibrotic- Epithelial,SLC29A1
Alveolar Fibrotic- Epithelial,SLC38A5
Alveolar Fibrotic- Epithelial,SLIT2
Alveolar Fibrotic- Epithelial,SNCA
Alveolar Fibrotic- Epithelial,SRGAP1
Alveolar Fibrotic- Epithelial,SRGN
Alveolar Fibrotic- Epithelial,SVEP1
Alveolar Fibrotic- Epithelial,TCF21
Alveolar Fibrotic- Epithelial,TGM2
Alveolar Fibrotic- Epithelial,TMEM108
Alveolar Fibrotic- Epithelial,TMEM119
Alveolar Fibrotic- Epithelial,TMEM176A
Alveolar Fibrotic- Epithelial,TMEM176B
Alveolar Fibrotic- Epithelial,TMEM37
Alveolar Fibrotic- Epithelial,UCP2
Alveolar Fibrotic- Epithelial,ULK4
Alveolar Fibrotic- Epithelial,USP53
Alveolar Fibrotic- Epithelial,VEGFC
Alveolar Fibrotic- Epithelial,WNT2
Alveolar Fibrotic- Epithelial,ZDHHC14
Alveolar Fibrotic- Epithelial,ZNF106
Alveolar Fibrotic- Epithelial,ZYX
Alveolar Fibrotic- Epithelial,ABCA1
Alveolar Fibrotic- Epithelial,ABCA7
Alveolar Fibrotic- Epithelial,ABLIM1
Alveolar Fibrotic- Epithelial,ACAA2
Alveolar Fibrotic- Epithelial,ACKR4
Alveolar Fibrotic- Epithelial,ACTB
Alveolar Fibrotic- Epithelial,ACTG1
Alveolar Fibrotic- Epithelial,ADRB1
Alveolar Fibrotic- Epithelial,ADRB2
Alveolar Fibrotic- Epithelial,AGER
Alveolar Fibrotic- Epithelial,AGRN
Alveolar Fibrotic- Epithelial,AGTPBP1
Alveolar Fibrotic- Epithelial,AHNAK
Alveolar Fibrotic- Epithelial,ALDH3A2
Alveolar Fibrotic- Epithelial,ALS2CL
Alveolar Fibrotic- Epithelial,ANGPTL2
Alveolar Fibrotic- Epithelial,ANKRD1
Alveolar Fibrotic- Epithelial,ANKRD29
Alveolar Fibrotic- Epithelial,ANKS1A
Alveolar Fibrotic- Epithelial,ANO6
Alveolar Fibrotic- Epithelial,ANOS1
Alveolar Fibrotic- Epithelial,ANXA2
Alveolar Fibrotic- Epithelial,ANXA3
Alveolar Fibrotic- Epithelial,APLP2
Alveolar Fibrotic- Epithelial,AQP4
Alveolar Fibrotic- Epithelial,ARAP2
Alveolar Fibrotic- Epithelial,ARHGAP29
Alveolar Fibrotic- Epithelial,ARHGEF26
Alveolar Fibrotic- Epithelial,ARL6IP5
Alveolar Fibrotic- Epithelial,ARPC5
Alveolar Fibrotic- Epithelial,ATF3
Alveolar Fibrotic- Epithelial,ATOH8
Alveolar Fibrotic- Epithelial,ATP11A
Alveolar Fibrotic- Epithelial,ATP1B3
Alveolar Fibrotic- Epithelial,ATP2B4
Alveolar Fibrotic- Epithelial,B2M
Alveolar Fibrotic- Epithelial,B3GNT2
Alveolar Fibrotic- Epithelial,B3GNT7
Alveolar Fibrotic- Epithelial,B3GNT8
Alveolar Fibrotic- Epithelial,B4GALT1
Alveolar Fibrotic- Epithelial,BCAP31
Alveolar Fibrotic- Epithelial,BDNF
Alveolar Fibrotic- Epithelial,C10orf67
Alveolar Fibrotic- Epithelial,C14orf132
Alveolar Fibrotic- Epithelial,C1orf198
Alveolar Fibrotic- Epithelial,CADM1
Alveolar Fibrotic- Epithelial,CAPN2
Alveolar Fibrotic- Epithelial,CAV1
Alveolar Fibrotic- Epithelial,CAV2
Alveolar Fibrotic- Epithelial,CD151
Alveolar Fibrotic- Epithelial,CD47
Alveolar Fibrotic- Epithelial,CD55
Alveolar Fibrotic- Epithelial,CD63
Alveolar Fibrotic- Epithelial,CD9
Alveolar Fibrotic- Epithelial,CDKN1A
Alveolar Fibrotic- Epithelial,CDKN2B
Alveolar Fibrotic- Epithelial,CEACAM6
Alveolar Fibrotic- Epithelial,CELF2
Alveolar Fibrotic- Epithelial,CFL2
Alveolar Fibrotic- Epithelial,CFLAR
Alveolar Fibrotic- Epithelial,CGN
Alveolar Fibrotic- Epithelial,CKB
Alveolar Fibrotic- Epithelial,CLDN18
Alveolar Fibrotic- Epithelial,CLDN4
Alveolar Fibrotic- Epithelial,CLDN7
Alveolar Fibrotic- Epithelial,CLIC2
Alveolar Fibrotic- Epithelial,CLIC3
Alveolar Fibrotic- Epithelial,CLIC5
Alveolar Fibrotic- Epithelial,CLIP4
Alveolar Fibrotic- Epithelial,CNPPD1
Alveolar Fibrotic- Epithelial,CNTN6
Alveolar Fibrotic- Epithelial,COL12A1
Alveolar Fibrotic- Epithelial,COL4A1
Alveolar Fibrotic- Epithelial,COL4A2
Alveolar Fibrotic- Epithelial,COL4A3
Alveolar Fibrotic- Epithelial,COL4A4
Alveolar Fibrotic- Epithelial,COMT
Alveolar Fibrotic- Epithelial,CPM
Alveolar Fibrotic- Epithelial,CRIP2
Alveolar Fibrotic- Epithelial,CRYAB
Alveolar Fibrotic- Epithelial,CST6
Alveolar Fibrotic- Epithelial,CUX1
Alveolar Fibrotic- Epithelial,CXCL16
Alveolar Fibrotic- Epithelial,CYBRD1
Alveolar Fibrotic- Epithelial,CYSTM1
Alveolar Fibrotic- Epithelial,DAD1
Alveolar Fibrotic- Epithelial,DAPK2
Alveolar Fibrotic- Epithelial,DENND3
Alveolar Fibrotic- Epithelial,DIPK2A
Alveolar Fibrotic- Epithelial,DLC1
Alveolar Fibrotic- Epithelial,DNAJB1
Alveolar Fibrotic- Epithelial,DOCK11
Alveolar Fibrotic- Epithelial,DPYSL2
Alveolar Fibrotic- Epithelial,DUSP7
Alveolar Fibrotic- Epithelial,ECEL1P2
Alveolar Fibrotic- Epithelial,EDN1
Alveolar Fibrotic- Epithelial,EFEMP1
Alveolar Fibrotic- Epithelial,EFNA1
Alveolar Fibrotic- Epithelial,EFR3B
Alveolar Fibrotic- Epithelial,EHD1
Alveolar Fibrotic- Epithelial,EHD2
Alveolar Fibrotic- Epithelial,ELOVL5
Alveolar Fibrotic- Epithelial,EPB41L3
Alveolar Fibrotic- Epithelial,EPB41L5
Alveolar Fibrotic- Epithelial,EPCAM
Alveolar Fibrotic- Epithelial,EPS8L2
Alveolar Fibrotic- Epithelial,ERRFI1
Alveolar Fibrotic- Epithelial,EVA1A
Alveolar Fibrotic- Epithelial,EYA4
Alveolar Fibrotic- Epithelial,FADS3
Alveolar Fibrotic- Epithelial,FAM189A2
Alveolar Fibrotic- Epithelial,FAS
Alveolar Fibrotic- Epithelial,FERMT2
Alveolar Fibrotic- Epithelial,FILIP1
Alveolar Fibrotic- Epithelial,FKBP9
Alveolar Fibrotic- Epithelial,FLNA
Alveolar Fibrotic- Epithelial,FOLR1
Alveolar Fibrotic- Epithelial,FSTL3
Alveolar Fibrotic- Epithelial,FZD5
Alveolar Fibrotic- Epithelial,GADD45B
Alveolar Fibrotic- Epithelial,GALK1
Alveolar Fibrotic- Epithelial,GALNT18
Alveolar Fibrotic- Epithelial,GAS6
Alveolar Fibrotic- Epithelial,GGT1
Alveolar Fibrotic- Epithelial,GGTLC1
Alveolar Fibrotic- Epithelial,GJA1
Alveolar Fibrotic- Epithelial,GKN2
Alveolar Fibrotic- Epithelial,GLS
Alveolar Fibrotic- Epithelial,GOLGA8A
Alveolar Fibrotic- Epithelial,GPM6A
Alveolar Fibrotic- Epithelial,GPRC5A
Alveolar Fibrotic- Epithelial,GPRIN2
Alveolar Fibrotic- Epithelial,GRK5
Alveolar Fibrotic- Epithelial,H3-3B
Alveolar Fibrotic- Epithelial,HACD1
Alveolar Fibrotic- Epithelial,HBEGF
Alveolar Fibrotic- Epithelial,HCFC1R1
Alveolar Fibrotic- Epithelial,HEBP1
Alveolar Fibrotic- Epithelial,HEG1
Alveolar Fibrotic- Epithelial,HIP1
Alveolar Fibrotic- Epithelial,HLA-C
Alveolar Fibrotic- Epithelial,HOPX
Alveolar Fibrotic- Epithelial,HPCAL1
Alveolar Fibrotic- Epithelial,HSPB1
Alveolar Fibrotic- Epithelial,HSPB8
Alveolar Fibrotic- Epithelial,HSPG2
Alveolar Fibrotic- Epithelial,HYAL1
Alveolar Fibrotic- Epithelial,IGFBP7
Alveolar Fibrotic- Epithelial,IL18
Alveolar Fibrotic- Epithelial,IL32
Alveolar Fibrotic- Epithelial,INF2
Alveolar Fibrotic- Epithelial,INSIG2
Alveolar Fibrotic- Epithelial,IRF1
Alveolar Fibrotic- Epithelial,ISG20
Alveolar Fibrotic- Epithelial,ITGA3
Alveolar Fibrotic- Epithelial,ITLN2
Alveolar Fibrotic- Epithelial,ITM2B
Alveolar Fibrotic- Epithelial,ITPRIP
Alveolar Fibrotic- Epithelial,JADE1
Alveolar Fibrotic- Epithelial,KCNN3
Alveolar Fibrotic- Epithelial,KHDRBS2
Alveolar Fibrotic- Epithelial,KIF5B
Alveolar Fibrotic- Epithelial,KLF2
Alveolar Fibrotic- Epithelial,KLF6
Alveolar Fibrotic- Epithelial,KLK7
Alveolar Fibrotic- Epithelial,KRT18
Alveolar Fibrotic- Epithelial,KRT19
Alveolar Fibrotic- Epithelial,KRT7
Alveolar Fibrotic- Epithelial,KRT8
Alveolar Fibrotic- Epithelial,LAMA3
Alveolar Fibrotic- Epithelial,LAMB3
Alveolar Fibrotic- Epithelial,LAMC1
Alveolar Fibrotic- Epithelial,LAMC2
Alveolar Fibrotic- Epithelial,LAPTM4A
Alveolar Fibrotic- Epithelial,LGALS3
Alveolar Fibrotic- Epithelial,LIMS2
